WEIGHT_CLASS	KG_FROM	KG_TO	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
COMMERCIAL	0000	3000	1122385	916676	9823	189	1	69	3	30454	2079600
COMMERCIAL	3001	3500	49615	25299	277	6	0	2	0	980	76179
COMMERCIAL	3501	4000	45919	20223	286	2	0	1	2	621	67054
COMMERCIAL	4001	4500	117385	32146	82	2	0	0	1	1820	151436
COMMERCIAL	4501	5000	5993	12238	242	5	0	0	0	327	18805
COMMERCIAL	5001	6000	10930	9868	106	2	0	1	0	396	21303
COMMERCIAL	6001	7000	12227	8588	123	0	0	0	0	363	21301
COMMERCIAL	7001	8000	8140	8484	194	1	0	1	0	418	17238
COMMERCIAL	8001	9000	16543	7495	150	0	0	0	0	487	24675
COMMERCIAL	9001	10000	6955	8546	148	0	0	0	0	473	16122
COMMERCIAL	10001	11000	27127	12697	165	0	1	2	0	574	40566
COMMERCIAL	11001	12000	2407	3835	87	0	0	0	0	159	6488
COMMERCIAL	12001	13000	1461	4781	224	0	0	4	0	77	6547
COMMERCIAL	13001	14000	1861	4599	121	0	0	0	0	107	6688
COMMERCIAL	14001	15000	7654	7801	186	0	2	0	0	234	15877
COMMERCIAL	15001	16000	3859	4271	38	0	0	0	0	85	8253
COMMERCIAL	16001	17000	2148	1611	15	0	0	0	0	55	3829
COMMERCIAL	17001	18000	2216	1592	14	0	0	0	0	79	3901
COMMERCIAL	18001	19000	1260	1163	19	0	0	0	0	37	2479
COMMERCIAL	19001	20000	2677	2538	22	0	0	1	0	121	5359
COMMERCIAL	20001	21000	733	1410	56	0	0	0	0	22	2221
COMMERCIAL	21001	22000	863	2536	77	0	0	0	0	44	3520
COMMERCIAL	22001	23000	814	3447	86	0	1	0	0	40	4388
COMMERCIAL	23001	24000	2061	2279	38	1	0	0	0	60	4439
COMMERCIAL	24001	25000	4716	3785	48	1	0	0	0	120	8670
COMMERCIAL	25001	26000	2285	2470	19	0	0	0	0	67	4841
COMMERCIAL	26001	27000	4325	2595	18	0	0	0	0	70	7008
COMMERCIAL	27001	28000	4259	3279	72	1	0	0	0	69	7680
COMMERCIAL	28001	29000	1529	1049	14	1	0	0	0	25	2618
COMMERCIAL	29001	30000	4389	3234	68	0	0	0	0	107	7798
COMMERCIAL	30001	31000	675	404	24	0	0	0	0	12	1115
COMMERCIAL	31001	32000	895	1011	27	0	0	0	0	27	1960
COMMERCIAL	32001	33000	737	916	22	0	0	0	0	29	1704
COMMERCIAL	33001	34000	783	946	43	0	1	0	0	25	1798
COMMERCIAL	34001	35000	2136	1688	25	0	2	0	0	72	3923
COMMERCIAL	35001	36000	5592	2365	4	0	0	0	0	137	8098
COMMERCIAL	36001	37000	12120	14593	200	0	1	0	0	136	27050
COMMERCIAL	37001	38000	5229	3427	40	0	0	0	0	47	8743
COMMERCIAL	38001	39000	2843	2350	49	0	0	0	0	14	5256
COMMERCIAL	39001	40000	18984	7663	63	0	0	0	0	104	26814
COMMERCIAL	40001	41000	1305	3024	75	0	0	0	0	9	4413
COMMERCIAL	41001	42000	2305	1126	21	0	0	0	0	10	3462
COMMERCIAL	42001	43000	583	854	15	0	0	0	0	4	1456
COMMERCIAL	43001	44000	742	670	36	0	0	0	0	7	1455
COMMERCIAL	44001	45000	2791	1480	4	0	0	0	0	50	4325
COMMERCIAL	45001	46000	1108	1570	41	0	0	0	0	5	2724
COMMERCIAL	46001	47000	1459	861	1	0	0	0	0	7	2328
