WEIGHT_CLASS	KG_FROM	KG_TO	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
COMMERCIAL	0000	3000	1069327	1010357	9824	189	1	73	3	32525	2122299
COMMERCIAL	3001	3500	43837	29281	278	6	0	2	0	1046	74450
COMMERCIAL	3501	4000	42672	23599	286	2	0	1	2	663	67225
COMMERCIAL	4001	4500	119649	41723	84	3	0	0	1	2184	163644
COMMERCIAL	4501	5000	5750	12602	242	5	0	0	0	342	18941
COMMERCIAL	5001	6000	9943	10569	106	2	0	2	0	427	21049
COMMERCIAL	6001	7000	11891	9267	123	0	0	0	0	380	21661
COMMERCIAL	7001	8000	7437	9130	194	1	0	1	0	442	17205
COMMERCIAL	8001	9000	16220	8548	150	0	0	0	0	522	25440
COMMERCIAL	9001	10000	6691	8976	148	0	0	0	0	527	16342
COMMERCIAL	10001	11000	26830	14696	165	0	1	2	0	639	42333
COMMERCIAL	11001	12000	2321	3996	87	0	0	0	0	162	6566
COMMERCIAL	12001	13000	1439	4895	224	0	0	4	0	87	6649
COMMERCIAL	13001	14000	1753	4715	121	0	0	0	0	102	6691
COMMERCIAL	14001	15000	7436	8226	186	0	2	0	0	238	16088
COMMERCIAL	15001	16000	3626	4516	38	0	0	0	0	86	8266
COMMERCIAL	16001	17000	2083	1705	15	0	0	0	0	58	3861
COMMERCIAL	17001	18000	2138	1724	14	0	0	0	0	80	3956
COMMERCIAL	18001	19000	1206	1245	19	0	0	0	0	38	2508
COMMERCIAL	19001	20000	2839	2651	23	0	0	1	0	134	5648
COMMERCIAL	20001	21000	729	1431	56	0	0	0	0	34	2250
COMMERCIAL	21001	22000	849	2606	77	0	0	0	0	54	3586
COMMERCIAL	22001	23000	779	3492	86	0	1	0	0	41	4399
COMMERCIAL	23001	24000	1950	2392	38	1	0	0	0	68	4449
COMMERCIAL	24001	25000	4703	4072	48	1	0	0	0	123	8947
COMMERCIAL	25001	26000	2151	2580	19	0	0	0	0	79	4829
COMMERCIAL	26001	27000	4623	2698	18	0	0	0	0	74	7413
COMMERCIAL	27001	28000	4384	3304	72	1	0	0	0	72	7833
COMMERCIAL	28001	29000	1654	1096	14	1	0	0	0	28	2793
COMMERCIAL	29001	30000	4569	3394	68	0	0	0	0	108	8139
COMMERCIAL	30001	31000	733	424	24	0	0	0	0	12	1193
COMMERCIAL	31001	32000	821	1106	27	0	0	0	0	32	1986
COMMERCIAL	32001	33000	755	954	22	0	0	0	0	29	1760
COMMERCIAL	33001	34000	697	995	43	0	1	0	0	28	1764
COMMERCIAL	34001	35000	1828	1886	25	0	2	0	0	85	3826
COMMERCIAL	35001	36000	5804	2743	4	0	0	0	0	126	8677
COMMERCIAL	36001	37000	11635	15070	200	0	1	0	0	132	27038
COMMERCIAL	37001	38000	5319	3741	40	0	0	0	0	57	9157
COMMERCIAL	38001	39000	2762	2402	49	0	0	0	0	18	5231
COMMERCIAL	39001	40000	19281	8357	63	0	0	0	0	120	27821
COMMERCIAL	40001	41000	1056	3039	75	0	0	0	0	9	4179
COMMERCIAL	41001	42000	2138	1287	21	0	0	0	0	7	3453
COMMERCIAL	42001	43000	515	893	15	0	0	0	0	6	1429
COMMERCIAL	43001	44000	730	678	36	0	0	0	0	6	1450
COMMERCIAL	44001	45000	2824	1590	4	0	0	0	0	40	4458
COMMERCIAL	45001	46000	1109	1608	41	0	0	0	0	10	2768
COMMERCIAL	46001	47000	1387	908	1	0	0	0	0	7	2303
COMMERCIAL	47001	48000	1778	705	4	0	0	0	0	2	2489
COMMERCIAL	48001	49000	684	667	15	0	0	0	0	3	1369
COMMERCIAL	49001	50000	6508	7124	111	0	3	0	0	68	13814
