VEHICLE_CLASS	DESCRIPTOR	VALUE	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
COMMERCIAL	AXLES	3	105528	290398	68371	14429	42472	7215	31	2997	531441
COMMERCIAL	AXLES	4	22030	11646	2493	219	1307	188	5	574	38462
COMMERCIAL	AXLES	5	341	675	67	8	78	2	0	16	1187
COMMERCIAL	AXLES	OTHER	144	614	49	25	54	8	1	8	903
COMMERCIAL	MOTIVE POWER		0	48	36	3	23	1	0	0	111
COMMERCIAL	MOTIVE POWER	D	340504	512725	101366	30887	83858	12804	194	12049	1094387
COMMERCIAL	MOTIVE POWER	E	15	84	18	2	4	4	0	0	127
COMMERCIAL	MOTIVE POWER	F	206745	133819	9961	5180	18669	4854	5	1649	380882
COMMERCIAL	MOTIVE POWER	G	1003437	2156129	231365	527833	247819	75693	56	37770	4280102
COMMERCIAL	MOTIVE POWER	L	2899	395	36	37	75	22	0	6	3470
COMMERCIAL	MOTIVE POWER	N	975	334	35	97	33	5	0	13	1492
COMMERCIAL	MOTIVE POWER	P	533	8191	873	2322	542	210	0	22	12693
COMMERCIAL	MOTIVE POWER	U	48	76	7	21	6	2	0	2	162
COMMERCIAL	MOTIVE POWER	OTHER	20	65	7	12	11	5	0	1	121
COMMERCIAL	BODY TYPE	CB	41839	74380	10879	9393	8699	1602	2	2607	149401
COMMERCIAL	BODY TYPE	CN	744	1085	240	29	149	33	0	40	2320
COMMERCIAL	BODY TYPE	CO	6889	21923	4679	1954	2964	564	1	540	39514
COMMERCIAL	BODY TYPE	CT	163176	264736	65217	10884	43541	6201	25	4421	558201
COMMERCIAL	BODY TYPE	CW	262823	256496	18686	3822	32832	10065	14	1855	586593
COMMERCIAL	BODY TYPE	DP	6629	37613	7526	2555	3678	1048	11	728	59788
COMMERCIAL	BODY TYPE	FM	1305	12895	2485	1469	1324	568	1	88	20135
COMMERCIAL	BODY TYPE	FV	123187	33169	4143	3085	8574	715	0	462	173335
COMMERCIAL	BODY TYPE	IC	3809	2703	477	760	401	47	0	87	8284
COMMERCIAL	BODY TYPE	MX	1348	2016	450	78	337	43	0	74	4346
COMMERCIAL	BODY TYPE	OV	18	123	30	12	8	2	0	3	196
COMMERCIAL	BODY TYPE	PD	1246	815	100	83	98	16	0	20	2378
COMMERCIAL	BODY TYPE	PF	760	10878	1888	1157	684	279	0	111	15757
COMMERCIAL	BODY TYPE	PK	888690	1642171	178227	378494	200408	58706	184	36125	3383005
COMMERCIAL	BODY TYPE	PR	365	1283	252	105	355	102	0	19	2481
COMMERCIAL	BODY TYPE	SD	340	1684	246	275	428	58	0	27	3058
COMMERCIAL	BODY TYPE	ST	440	27080	4058	3208	861	599	1	107	36354
COMMERCIAL	BODY TYPE	TX	1658	6526	1563	670	558	184	0	96	11255
COMMERCIAL	BODY TYPE	TY	21413	45388	5309	8646	7307	2242	13	821	91139
COMMERCIAL	BODY TYPE	VN	27078	346413	33952	138697	36034	10375	3	3194	595746
COMMERCIAL	BODY TYPE	WR	1419	5455	1114	803	278	145	0	87	9301
COMMERCIAL	BODY TYPE	OTHER	0	17034	2183	215	1522	6	0	0	20960
COMMERCIAL	YEAR	2022	21261	1205	79	0	247	6	0	19	22817
COMMERCIAL	YEAR	2021	129859	8728	407	2	1331	111	0	47	140485
COMMERCIAL	YEAR	2020	112553	29936	1277	11	3554	668	0	88	148087
COMMERCIAL	YEAR	2019	143314	52461	2560	60	6542	1276	0	113	206326
COMMERCIAL	YEAR	2018	123742	57831	3445	137	8011	1509	0	127	194802
COMMERCIAL	YEAR	2017	117816	59972	3915	255	8640	1931	0	136	192665
COMMERCIAL	YEAR	2016	100677	65732	5017	351	8985	2087	5	189	183043
COMMERCIAL	YEAR	2015	80891	55574	4492	394	7765	2010	4	256	151386
COMMERCIAL	YEAR	2014	71922	53793	4350	543	7272	1956	6	271	140113
COMMERCIAL	YEAR	2013	60904	46485	3959	582	6612	1677	2	314	120535
COMMERCIAL	YEAR	2012	59224	42047	4092	861	6605	1434	3	420	114686
COMMERCIAL	YEAR	2011	68877	48374	4510	1495	7295	1733	1	599	132884
COMMERCIAL	YEAR	2010	62915	45222	4545	2017	6694	1662	1	841	123897
COMMERCIAL	YEAR	2009	44846	32293	4208	2140	5430	1201	0	851	90969
COMMERCIAL	YEAR	2008	53633	45764	6871	4583	7887	1586	4	1642	121970
COMMERCIAL	YEAR	2007	52407	51850	8931	5933	9249	1878	8	1953	132209
COMMERCIAL	YEAR	2006	42697	47232	8929	7583	8152	1910	4	2185	118692
COMMERCIAL	YEAR	2005	36137	48163	9146	9086	7594	1935	7	2504	114572
COMMERCIAL	YEAR	2004	30185	49786	8430	11584	7080	2114	3	2915	112097
COMMERCIAL	YEAR	2003	26945	55080	8603	15686	7252	2096	5	3342	119009
COMMERCIAL	YEAR	2002	18241	52539	7567	16127	6944	2009	25	2975	106427
COMMERCIAL	YEAR	2001	14151	53605	7909	16700	9244	1897	113	2780	106399
COMMERCIAL	YEAR	2000	13207	65113	9550	21681	10804	2229	1	3147	125732
COMMERCIAL	YEAR	1999	10053	62023	8808	20394	12261	1950	3	2814	118306
COMMERCIAL	YEAR	1998	9547	60624	8372	20777	15567	1996	3	2797	119683
COMMERCIAL	YEAR	1997	6758	53023	7489	18592	11338	1648	4	2325	101177
COMMERCIAL	YEAR	1996	5020	40137	5729	13029	6155	1202	10	1657	72939
COMMERCIAL	YEAR	1995	5514	52349	8109	17048	8180	1555	1	2042	94798
COMMERCIAL	YEAR	1994	3779	47630	7107	17142	7484	1626	0	1817	86585
COMMERCIAL	YEAR	1993	2737	39337	5852	13069	5704	1355	0	1369	69423
COMMERCIAL	YEAR	1992	2288	40257	5393	13834	5425	1437	0	1187	69821
COMMERCIAL	YEAR	1991	1935	42037	5299	13870	5125	1522	1	1079	70868
COMMERCIAL	YEAR	1990	2438	58609	7518	18364	7175	1991	0	1292	97387
COMMERCIAL	YEAR	1989	2107	75566	8770	23276	8520	2571	0	1225	122035
COMMERCIAL	YEAR	1988	1711	92037	10246	26458	10445	3140	0	1145	145182
COMMERCIAL	YEAR	1987	1396	76514	8807	20060	9099	2470	4	540	118890
COMMERCIAL	YEAR	1986	1504	81202	8698	19302	9342	2758	2	464	123272
COMMERCIAL	YEAR	1985	1114	73631	7157	15946	8496	2385	2	361	109092
COMMERCIAL	YEAR	1984	855	60677	6102	13539	6524	2082	2	228	90009
COMMERCIAL	YEAR	1983	454	36966	3278	9167	4038	1379	0	110	55392
COMMERCIAL	YEAR	1982	436	36343	3622	8170	4016	1224	0	106	53917
COMMERCIAL	YEAR	1981	692	60961	5725	12991	5756	2074	0	189	88388
COMMERCIAL	YEAR	1980	482	60555	5917	11916	5798	2016	3	128	86815
COMMERCIAL	YEAR	1979	864	78180	7850	14571	6876	2528	3	153	111025
COMMERCIAL	YEAR	1978	689	68530	7187	14029	5751	2146	6	121	98459
COMMERCIAL	YEAR	1977	517	70294	7617	15536	5205	2193	3	88	101453
COMMERCIAL	YEAR	1976	321	62852	7194	14237	3915	2003	0	73	90595
COMMERCIAL	YEAR	1975	250	54504	6666	11775	3136	1724	3	67	78125
COMMERCIAL	YEAR	1974	201	58904	7687	13567	2965	1863	3	62	85252
COMMERCIAL	YEAR	1973	145	43600	5866	9766	2041	1319	3	28	62768
COMMERCIAL	YEAR	1972	421	34057	5122	6906	1478	1051	4	40	49079
COMMERCIAL	YEAR	1971	232	21425	3405	4398	843	697	1	34	31035
COMMERCIAL	YEAR	1970	267	19302	3115	3579	591	593	2	26	27475
COMMERCIAL	YEAR	1969	256	22158	3649	4301	672	634	0	26	31696
COMMERCIAL	YEAR	1968	248	15905	2637	2692	433	426	0	24	22365
COMMERCIAL	YEAR	1967	181	12201	2140	2127	310	343	0	20	17322
COMMERCIAL	YEAR	1966	228	8068	1597	1321	225	212	0	12	11663
COMMERCIAL	YEAR	1965	164	5086	1083	844	124	141	0	14	7456
COMMERCIAL	YEAR	1964	158	3861	825	626	96	91	0	12	5669
COMMERCIAL	YEAR	1963	97	2283	513	364	59	57	0	8	3381
COMMERCIAL	YEAR	1962	60	1440	362	201	34	29	0	6	2132
COMMERCIAL	YEAR	1961	54	1001	329	163	24	25	0	1	1597
COMMERCIAL	YEAR	1960	51	946	323	123	33	30	0	3	1509
COMMERCIAL	YEAR	1959	93	708	396	87	32	11	0	10	1337
COMMERCIAL	YEAR	1958	72	503	302	65	19	13	0	1	975
COMMERCIAL	YEAR	1957	121	589	443	54	38	15	0	5	1265
COMMERCIAL	YEAR	1956	189	820	633	66	55	29	0	6	1798
COMMERCIAL	YEAR	1955	166	625	448	44	44	10	0	5	1342
COMMERCIAL	YEAR	1954	131	497	365	31	37	8	0	1	1070
COMMERCIAL	YEAR	1953	191	596	571	41	44	14	0	9	1466
COMMERCIAL	YEAR	1952	189	665	642	20	59	14	0	12	1601
COMMERCIAL	YEAR	1951	213	456	554	31	52	13	0	10	1329
COMMERCIAL	YEAR	1950	194	394	524	23	26	8	0	7	1176
COMMERCIAL	YEAR	1949	149	405	499	16	31	15	0	2	1117
COMMERCIAL	YEAR	1948	116	298	379	9	20	13	0	5	840
COMMERCIAL	YEAR	1947	118	262	353	10	20	9	0	6	778
COMMERCIAL	YEAR	1946	106	198	269	2	18	8	0	4	605
COMMERCIAL	YEAR	1945	13	43	53	3	3	1	0	1	117
COMMERCIAL	YEAR	1944	6	37	41	0	3	1	0	0	88
COMMERCIAL	YEAR	1943	7	23	26	1	0	0	0	0	57
COMMERCIAL	YEAR	1942	26	62	98	1	8	2	0	0	197
COMMERCIAL	YEAR	1941	46	73	119	0	7	1	0	3	249
COMMERCIAL	YEAR	1940	47	76	131	1	6	2	0	3	266
COMMERCIAL	YEAR	1939	20	34	81	1	9	0	0	5	150
COMMERCIAL	YEAR	1938	32	52	71	1	7	1	0	1	165
COMMERCIAL	YEAR	1937	45	60	86	0	4	1	0	2	198
COMMERCIAL	YEAR	1936	29	63	60	0	3	2	0	1	158
COMMERCIAL	YEAR	1935	24	34	68	0	5	1	0	0	132
COMMERCIAL	YEAR	1934	33	34	62	0	7	0	0	1	137
COMMERCIAL	YEAR	1933	6	20	38	0	1	0	0	0	65
COMMERCIAL	YEAR	1932	18	49	57	0	4	0	0	1	129
COMMERCIAL	YEAR	1931	27	51	56	0	5	1	0	1	141
COMMERCIAL	YEAR	1930	28	53	68	0	2	1	0	0	152
COMMERCIAL	YEAR	1929	31	62	70	0	5	1	0	2	171
COMMERCIAL	YEAR	1928	20	33	59	0	7	0	0	1	120
COMMERCIAL	YEAR	1927	8	19	28	0	1	1	0	0	57
COMMERCIAL	YEAR	1926	5	15	16	0	1	0	0	0	37
COMMERCIAL	YEAR	1925	4	9	22	0	0	0	0	0	35
COMMERCIAL	YEAR	1924	4	7	13	0	0	0	0	0	24
COMMERCIAL	YEAR	1923	17	40	23	0	6	0	0	0	86
COMMERCIAL	YEAR	1922	2	0	2	0	0	0	0	0	4
COMMERCIAL	YEAR	1921	0	0	4	0	1	1	0	0	6
COMMERCIAL	YEAR	1920	0	3	1	0	0	0	0	0	4
COMMERCIAL	YEAR	1919	0	3	4	0	0	0	0	0	7
COMMERCIAL	YEAR	1918	0	2	2	0	0	0	0	0	4
COMMERCIAL	YEAR	1917	0	4	0	0	0	0	0	0	4
COMMERCIAL	YEAR	1916	0	0	1	0	0	0	0	0	1
COMMERCIAL	YEAR	1915	0	1	1	0	0	0	0	0	2
COMMERCIAL	YEAR	1914	0	2	0	0	0	1	0	0	3
COMMERCIAL	YEAR	1913	0	0	1	0	0	0	0	0	1
COMMERCIAL	YEAR	1911	0	0	2	0	0	0	0	0	2
COMMERCIAL	YEAR	1909	0	3	0	1	0	0	0	0	4
COMMERCIAL	YEAR	1908	0	1	0	0	1	0	0	0	2
COMMERCIAL	YEAR	1907	0	5	1	3	0	0	0	0	9
COMMERCIAL	YEAR	1906	0	5	0	1	0	0	0	0	6
COMMERCIAL	YEAR	1905	0	2	0	0	0	0	0	0	2
COMMERCIAL	YEAR	1904	0	4	0	0	1	0	0	0	5
COMMERCIAL	YEAR	1903	0	1	1	0	0	0	0	0	2
COMMERCIAL	YEAR	1902	0	0	0	0	0	1	0	0	1
COMMERCIAL	YEAR	1900	2	5	3	1	0	0	0	0	11
BUS	AXLES	1	74	608	86	79	167	57	0	8	1079
BUS	AXLES	2	28626	43524	6610	13029	4110	3760	2	567	100228
BUS	AXLES	3	2020	7330	998	587	1157	530	2	70	12694
BUS	AXLES	OTHER	12	41	4	5	3	0	0	0	65
BUS	MOTIVE POWER	D	18342	31889	4575	10160	3011	2321	0	505	70803
BUS	MOTIVE POWER	E	125	195	27	2	1	0	0	0	350
BUS	MOTIVE POWER	F	2782	449	32	13	106	9	0	21	3412
BUS	MOTIVE POWER	G	8616	17810	2960	3299	2292	1969	4	119	37069
BUS	MOTIVE POWER	I	397	365	1	67	0	0	0	0	830
BUS	MOTIVE POWER	L	83	38	1	48	0	0	0	0	170
BUS	MOTIVE POWER	N	93	268	11	34	0	1	0	0	407
BUS	MOTIVE POWER	P	290	463	90	76	25	46	0	0	990
BUS	MOTIVE POWER	OTHER	4	26	1	1	2	1	0	0	35
BUS	BODY TYPE	BU	30732	51368	7684	13697	5431	4347	4	645	113908
BUS	BODY TYPE	OTHER	0	135	14	3	6	0	0	0	158
BUS	YEAR	2023	31	0	0	0	0	0	0	0	31
BUS	YEAR	2022	880	3	1	0	0	0	0	0	884
BUS	YEAR	2021	1304	39	1	0	0	0	0	0	1344
BUS	YEAR	2020	1830	107	1	0	14	0	0	0	1952
BUS	YEAR	2019	2995	194	4	0	59	0	0	1	3253
BUS	YEAR	2018	2500	187	6	0	23	1	0	3	2720
BUS	YEAR	2017	2802	238	19	1	44	0	0	3	3107
BUS	YEAR	2016	2327	215	21	2	50	1	0	3	2619
BUS	YEAR	2015	1816	328	18	2	21	2	0	18	2205
BUS	YEAR	2014	1971	274	31	5	31	1	0	20	2333
BUS	YEAR	2013	2352	361	36	22	49	2	0	7	2829
BUS	YEAR	2012	2090	388	53	14	44	5	0	8	2602
BUS	YEAR	2011	1693	468	64	26	83	6	0	5	2345
BUS	YEAR	2010	1794	481	58	81	108	5	0	13	2540
BUS	YEAR	2009	1234	1349	114	191	139	10	0	21	3058
BUS	YEAR	2008	776	1078	95	202	102	28	0	48	2329
BUS	YEAR	2007	800	1094	92	170	116	18	0	28	2318
BUS	YEAR	2006	635	1584	159	637	108	38	0	30	3191
BUS	YEAR	2005	329	1276	111	450	94	25	0	26	2311
BUS	YEAR	2004	206	1486	214	811	55	46	0	36	2854
BUS	YEAR	2003	127	1169	157	558	72	33	0	46	2162
BUS	YEAR	2002	37	1096	112	527	57	29	0	36	1894
BUS	YEAR	2001	32	1541	138	506	99	36	0	29	2381
BUS	YEAR	2000	50	1417	134	882	178	59	0	44	2764
BUS	YEAR	1999	32	1271	155	704	125	184	0	38	2509
BUS	YEAR	1998	26	1155	174	614	86	101	0	27	2183
BUS	YEAR	1997	13	978	149	398	120	76	0	22	1756
BUS	YEAR	1996	7	1125	108	573	88	64	0	22	1987
BUS	YEAR	1995	2	1117	189	420	140	49	0	46	1963
BUS	YEAR	1994	2	799	191	218	142	59	0	11	1422
BUS	YEAR	1993	0	891	179	309	167	55	0	10	1611
BUS	YEAR	1992	0	1253	230	313	164	114	0	10	2084
BUS	YEAR	1991	1	1266	188	410	129	108	0	10	2112
BUS	YEAR	1990	1	1568	265	494	139	163	0	4	2634
BUS	YEAR	1989	0	1674	328	423	109	143	0	5	2682
BUS	YEAR	1988	0	1674	329	411	118	197	0	3	2732
BUS	YEAR	1987	1	1697	285	304	188	335	0	4	2814
BUS	YEAR	1986	1	1263	212	223	147	202	0	1	2049
BUS	YEAR	1985	1	1325	249	247	148	178	0	2	2150
BUS	YEAR	1984	1	1166	225	239	145	154	0	0	1930
BUS	YEAR	1983	0	958	135	217	134	84	0	0	1528
BUS	YEAR	1982	0	977	124	124	134	88	0	0	1447
BUS	YEAR	1981	3	1534	185	194	229	197	1	0	2343
BUS	YEAR	1980	1	1088	134	138	191	150	0	0	1702
BUS	YEAR	1979	2	1208	130	141	201	120	0	0	1802
BUS	YEAR	1978	0	1150	168	221	155	197	0	0	1891
BUS	YEAR	1977	0	1171	138	184	65	202	0	0	1760
BUS	YEAR	1976	0	1079	156	162	84	158	0	0	1639
BUS	YEAR	1975	0	1455	183	290	141	215	0	0	2284
BUS	YEAR	1974	0	893	190	200	56	112	0	1	1452
BUS	YEAR	1973	1	782	218	97	35	74	0	0	1207
BUS	YEAR	1972	0	620	133	80	48	69	2	0	952
BUS	YEAR	1971	1	439	59	74	44	40	1	0	658
BUS	YEAR	1970	0	288	50	49	33	37	0	0	457
BUS	YEAR	1969	0	279	46	24	13	20	0	0	382
BUS	YEAR	1968	0	200	65	28	21	4	0	0	318
BUS	YEAR	1967	0	227	101	22	18	13	0	0	381
BUS	YEAR	1966	0	168	98	22	42	9	0	2	341
BUS	YEAR	1965	0	127	87	13	39	10	0	0	276
BUS	YEAR	1964	0	78	26	5	22	5	0	0	136
BUS	YEAR	1963	0	48	81	6	11	5	0	0	151
BUS	YEAR	1962	0	28	49	4	6	4	0	0	91
BUS	YEAR	1961	0	19	2	10	1	1	0	1	34
BUS	YEAR	1960	0	21	3	2	8	1	0	1	36
BUS	YEAR	1959	0	17	3	2	2	0	0	0	24
BUS	YEAR	1958	0	6	2	1	0	2	0	0	11
BUS	YEAR	1957	0	11	3	0	0	1	0	0	15
BUS	YEAR	1956	0	7	3	0	0	1	0	0	11
BUS	YEAR	1955	0	5	4	1	1	0	0	0	11
BUS	YEAR	1954	0	2	2	0	0	0	0	0	4
BUS	YEAR	1953	0	3	1	1	0	0	0	0	5
BUS	YEAR	1952	0	3	3	0	0	0	0	0	6
BUS	YEAR	1951	0	4	0	1	1	0	0	0	6
BUS	YEAR	1950	0	5	4	0	1	0	0	0	10
BUS	YEAR	1949	0	1	5	0	0	0	0	0	6
BUS	YEAR	1948	0	2	3	0	0	0	0	0	5
BUS	YEAR	1947	0	0	1	0	0	0	0	0	1
BUS	YEAR	1946	0	0	1	0	0	0	0	0	1
BUS	YEAR	1945	0	0	1	0	0	0	0	0	1
BUS	YEAR	1943	0	1	0	0	0	0	0	0	1
BUS	YEAR	1939	0	1	1	0	0	0	0	0	2
BUS	YEAR	1938	0	0	1	0	0	0	0	0	1
BUS	YEAR	1937	0	1	1	0	0	0	0	0	2
BUS	YEAR	1935	0	1	1	0	0	0	0	0	2
BUS	YEAR	1923	25	0	0	0	0	0	0	0	25
BUS	YEAR	1921	0	0	1	0	0	0	0	0	1
BUS	YEAR	1919	0	0	0	0	0	1	0	0	1
BUS	YEAR	1916	0	1	0	0	0	0	0	0	1
BUS	YEAR	1902	0	0	1	0	0	0	0	0	1
TRAILER	AXLES	1	2088817	235596	4273	1812	40870	18327	3	0	2389698
TRAILER	AXLES	2	1102576	240449	9891	864	69641	14593	20	0	1438034
TRAILER	AXLES	3	113656	23434	1298	113	12447	1604	27	0	152579
TRAILER	AXLES	4	21902	4030	310	22	2422	218	0	0	28904
TRAILER	AXLES	5	7633	1456	115	5	239	67	0	0	9515
TRAILER	AXLES	6	2400	472	38	2	110	11	0	0	3033
TRAILER	AXLES	OTHER	1461	124	10	0	120	5	0	0	1720
TRAILER	BODY TYPE	AT	12437	2571	148	6	729	145	0	0	16036
TRAILER	BODY TYPE	BT	748669	84747	738	286	15858	6203	10	0	856511
TRAILER	BODY TYPE	DP	69090	5911	1130	54	2978	297	1	0	79461
TRAILER	BODY TYPE	DT	4884	857	28	2	304	13	2	0	6090
TRAILER	BODY TYPE	FV	310647	89912	4274	392	43267	8540	12	0	457044
TRAILER	BODY TYPE	HR	23887	3380	77	14	1554	261	0	0	29173
TRAILER	BODY TYPE	LB	48772	6216	398	44	1360	412	9	0	57211
TRAILER	BODY TYPE	LT	13508	4001	154	30	1521	305	0	0	19519
TRAILER	BODY TYPE	LV	15534	1670	55	7	747	130	0	0	18143
TRAILER	BODY TYPE	MX	218	69	5	5	27	6	0	0	330
TRAILER	BODY TYPE	OV	5598	1352	59	7	336	43	2	0	7397
TRAILER	BODY TYPE	PF	310410	51487	2213	600	12697	4052	8	0	381467
TRAILER	BODY TYPE	PL	3819	842	51	10	168	60	0	0	4950
TRAILER	BODY TYPE	TT	126475	23292	642	177	6829	1488	0	0	158903
TRAILER	BODY TYPE	TV	355063	118303	1825	315	19080	3990	1	0	498577
TRAILER	BODY TYPE	TY	1283092	110645	4121	867	18245	8878	5	0	1425853
TRAILER	BODY TYPE	OTHER	6342	306	17	2	149	2	0	0	6818
TRAILER	YEAR	2023	18	0	0	0	0	0	0	0	18
TRAILER	YEAR	2022	30801	1194	6	0	274	25	0	0	32300
TRAILER	YEAR	2021	93931	2471	12	0	429	23	0	0	96866
TRAILER	YEAR	2020	82874	2751	21	0	691	55	0	0	86392
TRAILER	YEAR	2019	90633	3560	36	0	917	54	0	0	95200
TRAILER	YEAR	2018	96420	3880	52	0	1114	79	0	0	101545
TRAILER	YEAR	2017	87007	4001	58	0	1266	146	0	0	92478
TRAILER	YEAR	2016	80714	4248	61	0	1252	154	0	0	86429
TRAILER	YEAR	2015	82319	4683	90	0	1404	170	0	0	88666
TRAILER	YEAR	2014	82823	5496	136	0	1603	202	0	0	90260
TRAILER	YEAR	2013	84937	5876	154	0	2016	247	0	0	93230
TRAILER	YEAR	2012	82808	6130	202	0	2056	299	0	0	91495
TRAILER	YEAR	2011	82602	6407	227	1	2136	289	1	0	91663
TRAILER	YEAR	2010	72264	6116	246	1	1743	301	0	0	80671
TRAILER	YEAR	2009	77255	6801	306	1	2185	407	0	0	86955
TRAILER	YEAR	2008	95604	8983	489	1	3174	644	0	0	108895
TRAILER	YEAR	2007	94609	9747	593	1	3373	553	0	0	108876
TRAILER	YEAR	2006	89597	9355	522	0	3325	597	0	0	103396
TRAILER	YEAR	2005	79962	9362	562	1	3661	524	0	0	94072
TRAILER	YEAR	2004	76304	8966	521	1	2859	536	0	0	89187
TRAILER	YEAR	2003	70082	8692	542	2	2605	589	0	0	82512
TRAILER	YEAR	2002	61967	7983	466	2	2166	617	0	0	73201
TRAILER	YEAR	2001	62030	9638	546	9	3099	727	0	0	76049
TRAILER	YEAR	2000	71705	11815	662	6	3965	890	3	0	89046
TRAILER	YEAR	1999	62014	11207	721	9	3817	1003	0	0	78771
TRAILER	YEAR	1998	60934	12031	750	31	3941	1091	1	0	78779
TRAILER	YEAR	1997	52297	10182	565	14	2796	978	1	0	66833
TRAILER	YEAR	1996	48521	10103	431	16	2597	1054	2	0	62724
TRAILER	YEAR	1995	51609	10855	515	19	3079	962	3	0	67042
TRAILER	YEAR	1994	49325	10427	389	27	3147	865	0	0	64180
TRAILER	YEAR	1993	45156	9230	363	27	2123	729	0	0	57628
TRAILER	YEAR	1992	47371	10487	281	37	2262	743	0	0	61181
TRAILER	YEAR	1991	43311	9523	290	47	1942	724	0	0	55837
TRAILER	YEAR	1990	51915	12228	356	49	2687	775	1	0	68011
TRAILER	YEAR	1989	55006	13724	348	67	2888	896	0	0	72929
TRAILER	YEAR	1988	51500	14447	435	60	3751	987	1	0	71181
TRAILER	YEAR	1987	48643	13499	393	73	3929	877	4	0	67418
TRAILER	YEAR	1986	42538	11929	265	72	3528	853	18	0	59203
TRAILER	YEAR	1985	41466	11298	234	86	3253	782	2	0	57121
TRAILER	YEAR	1984	37736	10793	245	94	2906	762	0	0	52536
TRAILER	YEAR	1983	31548	7182	129	77	1371	452	0	0	40759
TRAILER	YEAR	1982	28324	7202	113	72	1082	406	0	0	37199
TRAILER	YEAR	1981	36973	8906	164	77	1923	485	2	0	48530
TRAILER	YEAR	1980	47865	10617	195	80	2451	673	1	0	61882
TRAILER	YEAR	1979	45693	12286	277	125	2831	927	2	0	62141
TRAILER	YEAR	1978	40021	11278	192	88	2427	746	0	0	54752
TRAILER	YEAR	1977	38315	10236	176	101	2051	763	1	0	51643
TRAILER	YEAR	1976	40016	10158	154	95	1962	685	0	0	53070
TRAILER	YEAR	1975	41494	10283	170	86	1895	780	2	0	54710
TRAILER	YEAR	1974	44008	11956	179	117	2389	1043	1	0	59693
TRAILER	YEAR	1973	44008	11981	190	165	2122	882	1	0	59349
TRAILER	YEAR	1972	41145	10433	176	149	1658	908	0	0	54469
TRAILER	YEAR	1971	34975	8282	120	113	1158	623	0	0	45271
TRAILER	YEAR	1970	35284	7659	84	126	912	583	1	0	44649
TRAILER	YEAR	1969	30901	7387	83	114	869	569	1	0	39924
TRAILER	YEAR	1968	24300	5528	77	66	633	426	0	0	31030
TRAILER	YEAR	1967	20184	4485	68	66	458	288	0	0	25549
TRAILER	YEAR	1966	16236	3609	46	46	383	273	0	0	20593
TRAILER	YEAR	1965	14014	3048	42	55	321	222	1	0	17703
TRAILER	YEAR	1964	9662	2169	28	35	206	145	0	0	12245
TRAILER	YEAR	1963	7436	1571	33	21	165	112	0	0	9338
TRAILER	YEAR	1962	6677	1352	20	29	106	100	0	0	8284
TRAILER	YEAR	1961	5723	1212	16	22	108	93	0	0	7174
TRAILER	YEAR	1960	6713	1334	17	21	95	70	0	0	8250
TRAILER	YEAR	1959	5069	1066	20	21	89	72	0	0	6337
TRAILER	YEAR	1958	3839	804	12	20	59	69	0	0	4803
TRAILER	YEAR	1957	2609	615	14	14	26	42	0	0	3320
TRAILER	YEAR	1956	2330	537	10	15	25	40	0	0	2957
TRAILER	YEAR	1955	1692	410	9	10	18	24	0	0	2163
TRAILER	YEAR	1954	910	213	3	3	15	12	0	0	1156
TRAILER	YEAR	1953	812	241	3	3	10	12	0	0	1081
TRAILER	YEAR	1952	556	135	5	7	6	7	0	0	716
TRAILER	YEAR	1951	373	95	2	5	3	2	0	0	480
TRAILER	YEAR	1950	696	136	2	7	6	13	0	0	860
TRAILER	YEAR	1949	311	81	3	3	3	6	0	0	407
TRAILER	YEAR	1948	436	94	1	2	15	6	0	0	554
TRAILER	YEAR	1947	292	65	0	3	2	7	0	0	369
TRAILER	YEAR	1946	196	37	2	0	0	2	0	0	237
TRAILER	YEAR	1945	114	22	0	0	2	1	0	0	139
TRAILER	YEAR	1944	45	8	0	0	1	0	0	0	54
TRAILER	YEAR	1943	31	8	1	0	1	0	0	0	41
TRAILER	YEAR	1942	45	13	0	0	0	0	0	0	58
TRAILER	YEAR	1941	35	12	2	0	0	0	0	0	49
TRAILER	YEAR	1940	84	18	0	0	1	1	0	0	104
TRAILER	YEAR	1939	23	4	0	0	1	0	0	0	28
TRAILER	YEAR	1938	12	11	0	0	0	1	0	0	24
TRAILER	YEAR	1937	32	9	0	0	0	0	0	0	41
TRAILER	YEAR	1936	25	2	0	0	1	0	0	0	28
TRAILER	YEAR	1935	23	1	0	0	0	0	0	0	24
TRAILER	YEAR	1934	8	2	0	0	0	0	0	0	10
TRAILER	YEAR	1933	5	1	0	0	0	1	0	0	7
TRAILER	YEAR	1932	10	1	0	0	1	0	0	0	12
TRAILER	YEAR	1931	3	1	0	0	0	0	0	0	4
TRAILER	YEAR	1930	16	3	0	0	0	0	0	0	19
TRAILER	YEAR	1929	5	3	0	0	0	0	0	0	8
TRAILER	YEAR	1928	4	0	0	0	0	0	0	0	4
TRAILER	YEAR	1927	2	1	0	0	0	0	0	0	3
TRAILER	YEAR	1926	2	1	0	0	0	0	0	0	3
TRAILER	YEAR	1925	6	0	0	0	0	0	0	0	6
TRAILER	YEAR	1924	0	1	0	0	0	0	0	0	1
TRAILER	YEAR	1923	55	1	0	0	0	0	0	0	56
TRAILER	YEAR	1921	2	0	0	0	0	0	0	0	2
TRAILER	YEAR	1920	1	0	0	0	0	0	0	0	1
