VEHICLE_CLASS	PLATE-CLASS	VEH-DCL	REG-DCL	VAL-DCL	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
PASSENGER	   				0	5781486	1433132	5566112	1665775	418023	574	43347	14908449
PASSENGER	   		ARM		0	0	0	0	4	0	0	0	4
PASSENGER	   		CCA		0	594	10	2	47	1	0	1	655
PASSENGER	   		CDA		0	2540	45	0	567	9	1	1	3163
PASSENGER	   		CHS		0	163	62	3	17	33	0	0	278
PASSENGER	   		FDA		0	3482	1115	365	1160	577	0	1	6700
PASSENGER	   		IND		0	91	15	0	6	11	0	0	123
PASSENGER	   		NOR		0	285197	42240	33850	39537	45681	7	2269	448781
PASSENGER	   		ONA		0	2936	753	80	105	189	0	0	4063
PASSENGER	   		RDX		0	3	0	0	0	0	0	0	3
PASSENGER	   		STJ		0	2	0	0	0	0	0	1	3
PASSENGER	   		XOR		0	12	1	0	5	0	0	0	18
PASSENGER	   		XTR		0	877	5	1	134	6	0	1	1024
PASSENGER	CAN				0	1	0	0	0	0	0	0	1
PASSENGER	CAN		FDA		0	1	0	0	0	0	0	0	1
PASSENGER	CCA			CCA	0	10	0	0	0	0	0	0	10
PASSENGER	CCA		CCA	CCA	0	1	0	0	0	0	0	0	1
PASSENGER	CCA		NOR	CCA	0	2	0	0	0	0	0	0	2
PASSENGER	CCJ				1	24	0	0	0	0	0	0	25
PASSENGER	CCJ			NOR	0	1	0	0	0	0	0	0	1
PASSENGER	CCJ		NOR	NOR	0	1	0	0	0	0	0	0	1
PASSENGER	CCP				2	19	0	0	0	0	0	0	21
PASSENGER	CCP		CCA		314	405	0	0	0	0	0	1	720
PASSENGER	CCP		CDA		3	1	0	0	0	0	0	0	4
PASSENGER	CCP		NOR		0	1	0	0	0	0	0	0	1
PASSENGER	CDA				0	6	0	0	0	0	0	0	6
PASSENGER	CDP				6	6	0	0	0	0	0	0	12
PASSENGER	CDP		CCA		1	2	0	0	0	0	0	0	3
PASSENGER	CDP		CDA		1108	1173	0	0	0	0	0	1	2282
PASSENGER	COM				0	1	0	0	0	0	0	0	1
PASSENGER	DCO				7	3	0	0	0	0	0	0	10
PASSENGER	DSA				0	1248	0	0	0	0	0	0	1248
PASSENGER	DSA			NOR	0	12	0	0	0	0	0	0	12
PASSENGER	DSA			OGT	0	189	0	0	0	0	0	0	189
PASSENGER	DSA			PUO	0	1	0	0	0	0	0	0	1
PASSENGER	DSA		CHS		0	1	0	0	0	0	0	0	1
PASSENGER	DSA		NOR		0	11	0	0	0	0	0	0	11
