VEHICLE_CLASS	DESCRIPTOR	VALUE	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
PASSENGER	CYLINDERS	00	27742	2259	497	32	803	50	0	8	31391
PASSENGER	CYLINDERS	02	1404	2150	596	461	412	143	0	146	5312
PASSENGER	CYLINDERS	03	20181	32520	3594	16473	9439	1298	1	302	83808
PASSENGER	CYLINDERS	04	4560048	4256573	724409	2387002	750517	179552	185	72526	12930812
PASSENGER	CYLINDERS	05	57029	56355	9971	23878	16330	2478	5	1533	167579
PASSENGER	CYLINDERS	06	2265012	3838187	504703	2069469	634253	174180	252	69293	9555349
PASSENGER	CYLINDERS	08	325273	2179907	322028	963954	230278	80450	162	17256	4119308
PASSENGER	CYLINDERS	10	11309	18569	1952	4798	3602	524	1	240	40995
PASSENGER	CYLINDERS	12	3541	4792	1088	338	1072	122	2	171	11126
PASSENGER	CYLINDERS	OTHER	97	588	229	72	68	29	7	7	1097
PASSENGER	MOTIVE POWER	B	1	59	6	25	8	2	0	0	101
PASSENGER	MOTIVE POWER	D	100829	96872	15091	61002	18143	3108	23	2441	297509
PASSENGER	MOTIVE POWER	E	34	190	30	14	9	12	0	0	289
PASSENGER	MOTIVE POWER	F	573761	179067	28286	17441	40197	6894	9	2150	847805
PASSENGER	MOTIVE POWER	G	6448157	10087985	1518190	5383558	1581180	427592	578	156560	25603800
PASSENGER	MOTIVE POWER	K	1	50	6	45	3	15	0	0	120
PASSENGER	MOTIVE POWER	L	101424	18656	6136	2361	4949	972	4	299	134801
PASSENGER	MOTIVE POWER	N	13	120	7	45	4	3	0	2	194
PASSENGER	MOTIVE POWER	P	36	4600	311	1886	246	113	0	15	7207
PASSENGER	MOTIVE POWER	V	47364	4168	973	37	2022	112	1	13	54690
PASSENGER	MOTIVE POWER	OTHER	16	133	31	63	13	3	0	2	261
PASSENGER	BODY TYPE	CV	124470	94092	19776	11972	31584	2651	29	2535	287109
PASSENGER	BODY TYPE	DB	105	354	160	5	15	9	2	4	654
PASSENGER	BODY TYPE	MH	23597	39904	4314	2298	8005	1071	39	2635	81863
PASSENGER	BODY TYPE	SW	86000	17347	5858	10622	8169	655	1	368	129020
PASSENGER	BODY TYPE	SX	404	759	170	144	135	22	0	36	1670
PASSENGER	BODY TYPE	TY	2962336	1208970	216323	244387	267016	57946	182	26295	4983455
PASSENGER	BODY TYPE	VN	519529	1053203	113419	579810	205096	49809	33	19550	2540449
PASSENGER	BODY TYPE	2B	71552	400691	48621	238037	81327	16238	12	7683	864161
PASSENGER	BODY TYPE	2D	284293	2000768	282167	1190465	249467	85431	87	18739	4111417
PASSENGER	BODY TYPE	2W	404	24710	3302	14944	2846	1411	0	42	47659
PASSENGER	BODY TYPE	4B	541279	366949	67960	203633	79661	15219	11	5175	1279887
PASSENGER	BODY TYPE	4D	2525610	4172557	621588	2587075	618992	185264	208	72325	10783619
PASSENGER	BODY TYPE	4W	132057	471249	52183	285292	68278	21617	11	6095	1036782
PASSENGER	BODY TYPE	OTHER	0	540347	133226	97793	26183	1483	0	0	799032
PASSENGER	YEAR	2021	68316	887	70	0	79	5	0	15	69372
PASSENGER	YEAR	2020	438427	27057	2470	20	4363	688	0	97	473122
PASSENGER	YEAR	2019	555376	69646	8642	136	15689	1254	0	183	650926
PASSENGER	YEAR	2018	581279	77377	14813	400	19582	2085	1	245	695782
PASSENGER	YEAR	2017	579466	95202	20000	980	28157	2582	2	350	726739
PASSENGER	YEAR	2016	526311	89027	20272	1687	31025	2723	30	415	671490
PASSENGER	YEAR	2015	531007	93155	23073	3045	31428	3452	42	559	685761
PASSENGER	YEAR	2014	465272	83888	23622	6128	29655	2958	18	669	612210
PASSENGER	YEAR	2013	462480	92244	29228	10626	31003	3533	21	979	630114
PASSENGER	YEAR	2012	412458	87831	29063	15362	29164	3376	9	1183	578446
PASSENGER	YEAR	2011	362179	98810	30181	18957	27721	4118	9	1692	543667
PASSENGER	YEAR	2010	399203	113620	40288	25309	32105	5207	7	2538	618277
PASSENGER	YEAR	2009	306733	112919	40113	31558	30841	5357	11	3249	530781
PASSENGER	YEAR	2008	312063	163051	46412	44226	40809	8163	17	5026	619767
PASSENGER	YEAR	2007	277643	196380	52786	66505	41219	9526	24	6934	651017
PASSENGER	YEAR	2006	220772	200321	48605	79702	40488	10412	34	7752	608086
PASSENGER	YEAR	2005	172552	226701	49139	110558	38688	12261	44	9222	619165
PASSENGER	YEAR	2004	119585	218640	43811	112050	33610	11465	49	9069	548279
PASSENGER	YEAR	2003	103747	279836	51059	157284	43886	15868	37	11753	663470
PASSENGER	YEAR	2002	70636	297867	46139	180192	49682	17802	30	11971	674319
PASSENGER	YEAR	2001	45482	275409	41748	166596	55294	16844	37	10942	612352
PASSENGER	YEAR	2000	38862	298142	43435	194078	61873	19218	27	11449	667084
