VEHICLE_CLASS	PLATE-CLASS	VEH-DCL	REG-DCL	VAL-DCL	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
PASSENGER	   				0	5632931	1375240	5428279	1606151	391676	574	40944	14475795
PASSENGER	   		ARM		0	0	0	0	4	0	0	0	4
PASSENGER	   		CCA		0	591	11	2	47	2	0	0	653
PASSENGER	   		CDA		0	2475	45	0	555	8	1	1	3085
PASSENGER	   		CHS		0	162	61	3	17	32	0	0	275
PASSENGER	   		FDA		0	3427	1111	365	1134	577	0	1	6615
PASSENGER	   		IND		0	85	15	0	6	10	0	0	116
PASSENGER	   		NOR		0	280641	41690	33810	38609	44887	8	2070	441715
PASSENGER	   		ONA		0	2942	737	80	105	189	0	0	4053
PASSENGER	   		RDX		0	4	0	0	0	0	0	0	4
PASSENGER	   		STJ		0	2	0	0	0	0	0	1	3
PASSENGER	   		XOR		0	12	1	0	6	0	0	0	19
PASSENGER	   		XTR		0	858	5	0	134	6	0	1	1004
PASSENGER	CAN				0	1	0	0	0	0	0	0	1
PASSENGER	CAN		FDA		0	1	0	0	0	0	0	0	1
PASSENGER	CCA			CCA	0	10	0	0	0	0	0	0	10
PASSENGER	CCA		CCA	CCA	0	1	0	0	0	0	0	0	1
PASSENGER	CCA		NOR	CCA	0	2	0	0	0	0	0	0	2
PASSENGER	CCJ				4	21	0	0	0	0	0	0	25
PASSENGER	CCJ			NOR	0	1	0	0	0	0	0	0	1
PASSENGER	CCJ		NOR	NOR	0	1	0	0	0	0	0	0	1
PASSENGER	CCP				1	20	0	0	0	0	0	0	21
PASSENGER	CCP		CCA		314	395	0	0	0	0	0	1	710
PASSENGER	CCP		CDA		4	1	0	0	0	0	0	0	5
PASSENGER	CCP		NOR		0	1	0	0	0	0	0	0	1
PASSENGER	CDA				0	6	0	0	0	0	0	0	6
PASSENGER	CDP				6	7	0	0	0	0	0	0	13
PASSENGER	CDP		CCA		2	1	0	0	0	0	0	0	3
PASSENGER	CDP		CDA		1122	1150	0	0	0	0	0	2	2274
PASSENGER	COM				0	1	0	0	0	0	0	0	1
PASSENGER	DCO				7	3	0	0	0	0	0	0	10
PASSENGER	DSA				0	1248	0	0	0	0	0	0	1248
PASSENGER	DSA			NOR	0	12	0	0	0	0	0	0	12
PASSENGER	DSA			OGT	0	189	0	0	0	0	0	0	189
PASSENGER	DSA			PUO	0	1	0	0	0	0	0	0	1
PASSENGER	DSA		CHS		0	1	0	0	0	0	0	0	1
PASSENGER	DSA		NOR		0	11	0	0	0	0	0	0	11
PASSENGER	DSA		NOR	NOR	0	187	0	0	0	0	0	0	187
PASSENGER	DSA		NOR	NPU	0	1	0	0	0	0	0	0	1
PASSENGER	DSA		NOR	OGT	0	1	0	0	0	0	0	0	1
PASSENGER	EVE				44561	2252	0	0	0	0	1	16	46830
PASSENGER	EVE			ARM	1	0	0	0	0	0	0	0	1
PASSENGER	EVE			NOR	3	2	0	0	0	0	0	0	5
PASSENGER	EVE		CCA		1	0	0	0	0	0	0	0	1
PASSENGER	EVE		FDA		55	7	0	0	0	0	0	0	62
PASSENGER	EVE		NOR		10	1	0	0	0	0	0	0	11
